task_id,round,cell,cat,sub,exit,runstate,runchannel,run_h1b,replay_exit,g,stderr_full,created_at
h4_7_A1,7,A1,exit0가짜,,0,reject,stdout-return,,0,3,"
",2026-06-08T23:01:43.083452-08:00
h4_7_A2,7,A2,exit0가짜,,0,alive,stdout-ok,,0,2,"
",2026-06-08T23:02:32.999997-08:00
h4_7_B1,7,B1,exit0가짜,,0,alive,stdout-ok,,0,3,"
",2026-06-08T23:03:13.050118-08:00
h4_7_B2,7,B2,exit0가짜,,0,alive,stdout-ok,,0,3,"
",2026-06-08T23:04:07.755580-08:00
h4_7_C1,7,C1,exit0가짜,,0,alive,stdout-ok,,0,4,"
",2026-06-08T23:05:00.250979-08:00
h4_7_C2,7,C2,exit0가짜,,0,alive,stdout-ok,,0,3,"
",2026-06-08T23:06:01.166438-08:00
h4_7_D1,7,D1,exit0가짜,,0,alive,stdout-ok,,0,5,"
",2026-06-08T23:07:01.443329-08:00
h4_7_D2,7,D2,exit0가짜,,0,alive,stdout-ok,,0,4,"
",2026-06-08T23:08:21.023256-08:00
h4_7_E1,7,E1,exit0가짜,,0,alive,stdout-ok,,0,4,"
",2026-06-08T23:09:43.413537-08:00
h4_7_E2,7,E2,exit0가짜,,0,alive,stdout-ok,,0,3,"
",2026-06-08T23:10:23.676689-08:00
