task_id,round,cell,cat,sub,exit,g,stderr_full,created_at
r0605_1_A1,1,A1,exit0가짜,,0,3,,2026-06-04T07:44:28.909966-08:00
r0605_1_A1,1,A1,exit0가짜,,0,3,,2026-06-04T08:02:02.017415-08:00
r0605_2_A1,2,A1,exit0가짜,,0,3,,2026-06-04T08:13:32.260051-08:00
r0605_2_A1,2,A1,exit0가짜,,0,3,,2026-06-04T08:31:13.816914-08:00
r0605_3_A1,3,A1,기타예외,,-1,3,"
[runner] TimeoutExpired after 20s",2026-06-04T08:46:04.243356-08:00
r0605_3_A1,3,A1,exit0가짜,,0,3,,2026-06-04T09:02:27.727207-08:00
r0605_4_A1,4,A1,기타예외,,-1,3,"
[runner] TimeoutExpired after 20s",2026-06-04T09:14:59.508897-08:00
r0605_4_A1,4,A1,exit0가짜,,0,3,,2026-06-04T09:33:45.725331-08:00
r0605_5_A1,5,A1,exit0가짜,,0,3,,2026-06-04T09:50:38.992653-08:00
r0605_5_A1,5,A1,미분류,,1,4,,2026-06-04T10:08:47.567521-08:00
r0605_1_A2,1,A2,argparse,,2,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T07:46:58.001011-08:00
r0605_1_A2,1,A2,argparse,,2,3,"usage: main.py [-h] --value VALUE --direction DIRECTION
main.py: error: the following arguments are required: --value, --direction
",2026-06-04T08:04:17.116239-08:00
r0605_2_A2,2,A2,argparse,,2,3,"usage: main.py [-h] --mode {CtoF,FtoC} value
main.py: error: the following arguments are required: value, --mode
",2026-06-04T08:16:38.073190-08:00
r0605_2_A2,2,A2,argparse,,2,3,"usage: main.py [-h] --value VALUE --direction DIRECTION
main.py: error: the following arguments are required: --value, --direction
",2026-06-04T08:34:13.343902-08:00
r0605_3_A2,3,A2,argparse,,2,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T08:48:00.072702-08:00
r0605_3_A2,3,A2,argparse,,2,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T09:04:34.799217-08:00
r0605_4_A2,4,A2,argparse,,2,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T09:17:03.350310-08:00
r0605_4_A2,4,A2,argparse,,2,3,"usage: main.py [-h] --value VALUE --direction DIRECTION
main.py: error: the following arguments are required: --value, --direction
",2026-06-04T09:36:25.121991-08:00
r0605_5_A2,5,A2,argparse,,2,3,"usage: main.py [-h] value mode
main.py: error: the following arguments are required: value, mode
",2026-06-04T09:53:15.881577-08:00
r0605_5_A2,5,A2,argparse,,1,2,"usage: main.py [-h] value {C,F}
main.py: error: the following arguments are required: value, unit
",2026-06-04T10:12:14.844982-08:00
r0605_1_B1,1,B1,메뉴앞EOF,,1,5,"Traceback (most recent call last):
  File ""/tmp/aaa_run_p6n4u8j9/main.py"", line 11, in <module>
    main()
  File ""/tmp/aaa_run_p6n4u8j9/main.py"", line 8, in main
    start_app()
  File ""/tmp/aaa_run_p6n4u8j9/ui.py"", line 12, in start_app
    choice = input(""Choose an option: "").strip()
EOFError: EOF when reading a line
",2026-06-04T07:49:47.959341-08:00
r0605_1_B1,1,B1,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_6xpeye9r/main.py"", line 59, in <module>
    main()
  File ""/tmp/aaa_run_6xpeye9r/main.py"", line 12, in main
    choice = input(""Choose an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T08:06:11.555368-08:00
r0605_2_B1,2,B1,메뉴앞EOF,,1,5,"Traceback (most recent call last):
  File ""/tmp/aaa_run_ltcm2r5q/main.py"", line 11, in <module>
    main()
  File ""/tmp/aaa_run_ltcm2r5q/main.py"", line 8, in main
    run_cli()
  File ""/tmp/aaa_run_ltcm2r5q/cli.py"", line 12, in run_cli
    choice = input(""Choose an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T08:19:09.731350-08:00
r0605_2_B1,2,B1,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_8vicia1b/main.py"", line 61, in <module>
    main()
  File ""/tmp/aaa_run_8vicia1b/main.py"", line 14, in main
    choice = input(""Select an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T08:36:19.468136-08:00
