task_id,round,cell,cat,sub,exit,g,stderr_full,created_at
r0605b_1_A1,1,A1,H1b,import불일치,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_kgydoqj7/main.py"", line 1, in <module>
    from parser import parse_expression
  File ""/tmp/aaa_run_kgydoqj7/parser.py"", line 1, in <module>
    from exceptions import InvalidExpressionError
ImportError: cannot import name 'InvalidExpressionError' from 'exceptions' (/tmp/aaa_run_kgydoqj7/exceptions.py)
",2026-06-04T16:25:17.112405-08:00
r0605b_2_A1,2,A1,exit0가짜,,0,3,,2026-06-04T16:54:48.924185-08:00
r0605b_3_A1,3,A1,exit0가짜,,0,3,,2026-06-04T17:24:35.356287-08:00
r0605b_4_A1,4,A1,기타예외,,-1,2,"
[runner] TimeoutExpired after 20s",2026-06-04T17:52:56.811069-08:00
r0605b_5_A1,5,A1,기타예외,,-1,3,"
[runner] TimeoutExpired after 20s",2026-06-04T18:20:51.510808-08:00
r0605b_1_A2,1,A2,argparse,,2,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T16:29:43.098771-08:00
r0605b_2_A2,2,A2,argparse,,2,3,"usage: main.py [-h] value unit
main.py: error: the following arguments are required: value, unit
",2026-06-04T16:56:36.666372-08:00
r0605b_3_A2,3,A2,argparse,,1,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T17:27:26.239667-08:00
r0605b_4_A2,4,A2,exit0가짜,,0,3,,2026-06-04T17:55:17.676594-08:00
r0605b_5_A2,5,A2,argparse,,2,3,"usage: main.py [-h] value direction
main.py: error: the following arguments are required: value, direction
",2026-06-04T18:23:05.130864-08:00
r0605b_1_B1,1,B1,메뉴앞EOF,,1,3,"Traceback (most recent call last):
  File ""/tmp/aaa_run__gxmju3i/main.py"", line 59, in <module>
    run()
  File ""/tmp/aaa_run__gxmju3i/main.py"", line 12, in run
    choice = input(""Choose an option: "").strip()
EOFError: EOF when reading a line
",2026-06-04T16:32:19.356103-08:00
r0605b_2_B1,2,B1,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_cgt0ru_8/main.py"", line 60, in <module>
    main()
  File ""/tmp/aaa_run_cgt0ru_8/main.py"", line 12, in main
    choice = input(""Choose an option: "").strip()
EOFError: EOF when reading a line
",2026-06-04T16:59:23.685387-08:00
r0605b_3_B1,3,B1,메뉴앞EOF,,1,3,"Traceback (most recent call last):
  File ""/tmp/aaa_run_e6gfaznl/main.py"", line 60, in <module>
    run()
  File ""/tmp/aaa_run_e6gfaznl/main.py"", line 12, in run
    choice = input(""Choose an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T17:29:44.263166-08:00
r0605b_4_B1,4,B1,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_v8drzrhj/main.py"", line 13, in <module>
    main()
  File ""/tmp/aaa_run_v8drzrhj/main.py"", line 10, in main
    run_menu(manager)
  File ""/tmp/aaa_run_v8drzrhj/cli_interface.py"", line 12, in run_menu
    choice = input(""Select an option: "").strip()
EOFError: EOF when reading a line
",2026-06-04T17:57:47.239401-08:00
r0605b_5_B1,5,B1,메뉴앞EOF,,1,3,"Traceback (most recent call last):
  File ""/tmp/aaa_run_j965utvt/main.py"", line 63, in <module>
    main()
  File ""/tmp/aaa_run_j965utvt/main.py"", line 16, in main
    choice = input(""Choose an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T18:24:48.207027-08:00
r0605b_1_B2,1,B2,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_b8pgy36l/main.py"", line 59, in <module>
    run_cli()
  File ""/tmp/aaa_run_b8pgy36l/main.py"", line 12, in run_cli
    choice = input(""Select an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T16:34:10.366978-08:00
r0605b_2_B2,2,B2,기타예외,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_ecmtuxet/main.py"", line 71, in <module>
    main()
  File ""/tmp/aaa_run_ecmtuxet/main.py"", line 59, in main
    handle_add_memo()
  File ""/tmp/aaa_run_ecmtuxet/main.py"", line 25, in handle_add_memo
    result = memo_service.add_memo(content)
  File ""/tmp/aaa_run_ecmtuxet/memo_service.py"", line 7, in add_memo
    new_id = max([m['memo_id'] for m in memos], default=0) + 1
  File ""/tmp/aaa_run_ecmtuxet/memo_service.py"", line 7, in <listcomp>
    new_id = max([m['memo_id'] for m in memos], default=0) + 1
KeyError: 'memo_id'
",2026-06-04T17:02:03.910759-08:00
r0605b_3_B2,3,B2,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_yre9lpoh/main.py"", line 59, in <module>
    main()
  File ""/tmp/aaa_run_yre9lpoh/main.py"", line 12, in main
    choice = input(""Select an option (1-5): "").strip()
EOFError: EOF when reading a line
",2026-06-04T17:31:49.871907-08:00
r0605b_4_B2,4,B2,메뉴앞EOF,,1,4,"Traceback (most recent call last):
  File ""/tmp/aaa_run_h92yhu5o/main.py"", line 61, in <module>
    run_cli()
  File ""/tmp/aaa_run_h92yhu5o/main.py"", line 12, in run_cli
    choice = input(""Select an option: "").strip()
EOFError: EOF when reading a line
",2026-06-04T18:00:38.474213-08:00
